,feature,gain,split
14,po2_max,18.920379011123586,121
22,arterialrbc_max,7.567483937583836,156
47,aptt_min,6.198193979377331,144
44,ast_min,4.776571430759247,64
42,lactate_min,4.303636512582354,67
23,plt_max,4.067381100154329,105
24,lactate_max,3.2249426813807354,55
43,alt_min,3.054671227980773,58
11,resprate_min,2.4664585093459666,67
2,diasbp_max,2.3627695245731717,72
39,arterialwbc_min,2.2049566662278957,86
29,aptt_max,2.0580067171338423,73
40,arterialrbc_min,1.9894228985421076,78
32,po2_min,1.9748995033106236,64
27,creatinine_max,1.8474699255063551,62
13,tempc_min,1.8364227073040298,68
45,creatinine_min,1.8147715911780626,42
8,sysbp_min,1.6582371307427513,51
1,sysbp_max,1.6481221359616418,62
34,arterialph_min,1.636065750618808,63
48,pt_min,1.5647861253775084,46
38,bicarbonate_min,1.4777097152496628,54
41,plt_min,1.3835697806487675,53
28,bun_max,1.3695126588596755,47
46,bun_min,1.3355412961166566,47
10,meanbp_min,1.2276106310998662,39
18,calcium_max,1.223186402184064,57
31,inr_max,1.1465532244448327,47
3,meanbp_max,1.0946633744385603,38
15,pco2_max,0.9811565677121301,44
21,arterialwbc_max,0.9051871712146725,41
19,glucose_max,0.8786051542557408,40
30,pt_max,0.8731897753563036,37
9,diasbp_min,0.6952234112359614,34
36,calcium_min,0.6819090146877551,34
16,arterialph_max,0.678978774275305,35
25,alt_max,0.6780202799458069,21
6,tempc_max,0.6497742570736877,36
7,heartrate_min,0.6245095629694674,31
33,pco2_min,0.597118584875001,32
35,potassium_min,0.5669070488504013,24
26,ast_max,0.5514306392817012,22
37,glucose_min,0.5423526436742838,32
5,spo2_max,0.4702381188247183,14
17,potassium_max,0.42082039557020406,19
0,heartrate_max,0.4103408325563252,30
4,resprate_max,0.4101773387219638,25
20,bicarbonate_max,0.3997033560449046,20
12,spo2_min,0.3525148176249389,16
49,inr_min,0.19784610544168696,5
