,feature,gain,split
14,po2_max,16.83309333830653,149
22,arterialrbc_max,7.737667736620881,179
47,aptt_min,6.774309750476596,179
24,lactate_max,4.543788070592819,89
23,plt_max,3.8257861860283997,136
44,ast_min,3.678873136400219,53
43,alt_min,3.4143672408504395,83
40,arterialrbc_min,2.894705972379861,131
42,lactate_min,2.813012894964133,73
39,arterialwbc_min,2.7360731137221044,127
29,aptt_max,2.6456609361178436,114
34,arterialph_min,2.40574937041815,106
18,calcium_max,2.3144542931847654,111
48,pt_min,2.009966608676541,78
32,po2_min,1.9383242641958045,87
13,tempc_min,1.821583131332307,92
2,diasbp_max,1.7320801206465857,73
45,creatinine_min,1.6880562178662577,72
11,resprate_min,1.591944789257728,83
1,sysbp_max,1.47330729611083,84
8,sysbp_min,1.3533221223282912,65
10,meanbp_min,1.2719324733181947,65
19,glucose_max,1.2173333971232574,52
3,meanbp_max,1.2092295046646022,69
9,diasbp_min,1.1649615128516655,53
46,bun_min,1.1282523191757072,51
21,arterialwbc_max,1.1268291726891888,69
41,plt_min,1.1152661084608908,74
38,bicarbonate_min,1.0971761609298634,64
31,inr_max,1.0354615139939127,58
25,alt_max,0.9187439078706876,43
28,bun_max,0.911573413291019,44
36,calcium_min,0.8890699295561493,46
30,pt_max,0.7999548393336043,45
35,potassium_min,0.7988256177686238,43
17,potassium_max,0.7807881847075757,39
7,heartrate_min,0.739463067448611,50
15,pco2_max,0.7290877891467769,41
5,spo2_max,0.7214675235868236,26
0,heartrate_max,0.7127828472891572,60
27,creatinine_max,0.6764590171743937,36
6,tempc_max,0.6621013852732265,45
26,ast_max,0.6582216931044175,38
16,arterialph_max,0.6500209748859199,46
33,pco2_min,0.634087829270737,47
4,resprate_max,0.5655626013080621,40
37,glucose_min,0.480445013626309,33
49,inr_min,0.4097054683296436,14
20,bicarbonate_max,0.3463664415298359,23
12,spo2_min,0.3227037018140568,23
