,feature,gain,split
14,po2_max,19.12195887561492,129
22,arterialrbc_max,6.932809729640123,147
24,lactate_max,6.049038946546819,60
47,aptt_min,5.211968314952108,121
43,alt_min,5.010111188046713,80
23,plt_max,3.4241363957384032,89
44,ast_min,2.8773289250675806,47
45,creatinine_min,2.7284796107001683,68
2,diasbp_max,2.5672015378507456,75
29,aptt_max,2.3378794998309576,67
32,po2_min,2.3081474894887335,82
42,lactate_min,2.3012569151476265,50
27,creatinine_max,2.097534962040135,64
46,bun_min,2.021046801756735,63
9,diasbp_min,1.9733857826813794,61
34,arterialph_min,1.8968340863554212,59
11,resprate_min,1.8750448175703143,65
39,arterialwbc_min,1.8597955638518227,73
19,glucose_max,1.63635204547925,58
40,arterialrbc_min,1.612892903709261,63
18,calcium_max,1.5566667057176367,60
38,bicarbonate_min,1.4558921447857927,55
1,sysbp_max,1.3056304235047773,47
10,meanbp_min,1.2915587537469988,34
13,tempc_min,1.2202873441090492,58
30,pt_max,1.1610124614648407,52
8,sysbp_min,1.0900085676335898,49
25,alt_max,1.088673159593133,25
48,pt_min,1.0744054544638142,43
35,potassium_min,1.0271825964044463,37
6,tempc_max,1.0009307714564637,52
41,plt_min,0.9828527668074917,45
15,pco2_max,0.9519153454061987,35
3,meanbp_max,0.8228318440735563,33
31,inr_max,0.8058070083435626,31
28,bun_max,0.7738611126919208,33
7,heartrate_min,0.7549280958331108,36
21,arterialwbc_max,0.6980883679039563,33
4,resprate_max,0.6868097788064024,39
36,calcium_min,0.5540014874828274,24
17,potassium_max,0.5495065831894708,22
16,arterialph_max,0.5063842358562907,25
33,pco2_min,0.5045400448308152,27
49,inr_min,0.39112337844094236,16
20,bicarbonate_max,0.3821558665781937,25
26,ast_max,0.34910566406842664,13
12,spo2_min,0.32441445462472407,16
37,glucose_min,0.3030196748980127,12
0,heartrate_max,0.28880311200494607,23
5,spo2_max,0.2543984032093939,10
