,feature,gain,split
21,po2_max,7.602604447964158,219
93,ptt_min,6.408178784114256,184
108,neutrophils_mean,4.057935716468666,78
70,neutrophils_min,3.642133624406247,92
86,magnesium_min,3.395235912281597,143
18,resprate_mean,2.8433513445196597,238
33,hematocrit_max,2.838034795232926,174
82,creatine_kinase_min,2.328191140209382,118
32,neutrophils_max,2.1347489815691483,80
29,serum_rbc_max,1.785365810429028,122
97,po2_mean,1.5819460240769336,80
31,plt_max,1.5586033196866869,148
124,magnesium_mean,1.4475696131327167,141
118,bun_mean,1.37167316648626,133
126,sodium_mean,1.3426039707799988,125
44,creatine_kinase_max,1.3022453830267087,69
80,bun_min,1.29513509302649,108
100,lactate_mean,1.2929839508545056,103
24,lactate_max,1.1599394802053469,115
133,inr_mean,1.1440604210569107,35
72,urine_ph_min,1.0810505450764532,37
68,serum_wbc_min,1.0659809192879635,132
88,sodium_min,1.0274019363369025,94
34,urine_ph_max,0.9950726239089779,44
107,plt_mean,0.9820023770527733,111
12,tempc_min,0.9797960008135029,126
14,heartrate_mean,0.8726972478509425,127
120,creatine_kinase_mean,0.8343425066508443,46
99,arterial_ph_mean,0.8325155316532108,102
19,tempc_mean,0.8059854092120389,126
43,creatinine_max,0.8001524943581554,98
28,hemoglobin_max,0.7872692708471536,64
20,spo2_mean,0.7692382868923914,137
94,pt_min,0.7254130236584808,82
61,arterial_ph_min,0.7253252833819287,67
114,serum_albumin_mean,0.7174708581238729,55
117,glucose_mean,0.7076391306952433,107
38,serum_albumin_max,0.693456574945285,60
41,glucose_max,0.6883433519579485,97
73,urine_specific_gravity_min,0.6731986261289333,63
49,potassium_max,0.6669751375146605,101
105,serum_rbc_mean,0.6659163993782717,80
58,fibrinogen_max,0.6625487372586996,45
69,plt_min,0.6444495330303527,95
35,urine_specific_gravity_max,0.6410020127051563,50
55,ptt_max,0.6352643487950311,92
62,lactate_min,0.6216464267779519,64
119,creatinine_mean,0.6211330294262407,94
123,phosphate_mean,0.611007894489287,94
67,serum_rbc_min,0.6017357733353061,84
59,po2_min,0.5998795273008675,88
23,arterial_ph_max,0.5984095868041553,66
5,tempc_max,0.5928626972020506,101
71,hematocrit_min,0.5837723963500424,77
3,meanbp_max,0.5789689394397006,85
11,resprate_min,0.5673642703581507,65
122,calcium_mean,0.5550217417883767,90
1,sysbp_max,0.545780397745885,82
103,total_co2_mean,0.5369834680041088,84
85,phosphate_min,0.534832808916949,79
42,bun_max,0.5273063064682806,53
131,ptt_mean,0.5268188836768805,77
7,heartrate_min,0.5198608117417974,94
16,diasbp_mean,0.5133517775317646,93
79,glucose_min,0.4976462203270956,68
76,serum_albumin_min,0.4965794424323918,45
30,serum_wbc_max,0.49624292669658154,77
101,be_mean,0.48554414493973935,52
132,pt_mean,0.4844334766730375,74
47,phosphate_max,0.48230410956553404,79
98,pco2_mean,0.46543837360804147,80
15,sysbp_mean,0.45174154791211923,73
2,diasbp_max,0.43938492227832887,72
89,chloride_min,0.43316841448656973,58
75,ast_min,0.4309546346643356,38
84,calcium_min,0.43008387477672266,64
0,heartrate_max,0.4095030553267589,62
106,serum_wbc_mean,0.4024037825693734,58
125,potassium_mean,0.4009329785411108,68
8,sysbp_min,0.38013394940083217,61
127,chloride_mean,0.3731014448366188,59
92,ck_mb_min,0.36680852120953206,32
134,fibrinogen_mean,0.3418663887530002,30
4,resprate_max,0.33732571220264773,52
66,hemoglobin_min,0.33093804603703925,44
37,ast_max,0.31922171115035886,41
54,ck_mb_max,0.31576587845794746,25
56,pt_max,0.3146402601081711,52
13,spo2_min,0.3098311466856135,44
9,diasbp_min,0.3031562921118005,54
10,meanbp_min,0.29989256380262275,44
110,urine_ph_mean,0.29561091740302564,18
111,urine_specific_gravity_mean,0.28537036712993274,34
77,troponin_t_min,0.2790133639832428,36
50,sodium_max,0.27776390519399224,48
27,total_co2_max,0.2763935402317611,30
104,hemoglobin_mean,0.27289795351286844,36
46,calcium_max,0.271816639440932,49
17,meanbp_mean,0.2629770607809287,53
22,pco2_max,0.25837192456568053,55
81,creatinine_min,0.2580272081814373,42
57,inr_max,0.255823684407151,34
51,chloride_max,0.2549791196537952,35
48,magnesium_max,0.2538180392004072,42
36,alt_max,0.24101442427043224,30
45,ld_max,0.23982161500471277,31
96,fibrinogen_min,0.2325706766720742,30
109,hematocrit_mean,0.231638922135052,37
95,inr_min,0.21474636014303689,25
130,ck_mb_mean,0.20530168279281988,23
121,ld_mean,0.18783346017922117,26
60,pco2_min,0.18623236469598414,33
102,sao2_mean,0.17355237177925073,29
74,alt_min,0.170662924675723,22
63,be_min,0.16474889105909765,19
83,ld_min,0.16225725294832666,25
87,potassium_min,0.15337288722709239,21
26,sao2_max,0.1459676858669375,23
65,total_co2_min,0.1447445123782327,21
112,alt_mean,0.14265986130669747,19
78,alp_min,0.12871659015692857,23
113,ast_mean,0.1158666761000483,16
115,troponin_t_mean,0.1091145620162874,15
25,be_max,0.10680771709514664,22
40,alp_max,0.09310307952461724,14
39,troponin_t_max,0.09054156250255962,15
90,amylase_min,0.09017817585631802,9
64,sao2_min,0.08658020168076304,16
129,lipase_mean,0.08654889238847187,15
6,spo2_max,0.07637464775888206,12
53,lipase_max,0.07385742314572125,16
52,amylase_max,0.07165131179111803,8
128,amylase_mean,0.04219428872254712,7
116,alp_mean,0.04129619902971475,10
91,lipase_min,0.03834935145650872,7
