,feature,gain,split
21,po2_max,7.356678568169509,260
93,ptt_min,7.2374332030087185,276
70,neutrophils_min,4.18287096962941,140
86,magnesium_min,2.9483848684681817,217
18,resprate_mean,2.652397669604848,308
44,creatine_kinase_max,2.4478179506927877,136
62,lactate_min,2.1168709713727867,82
82,creatine_kinase_min,1.9994040102785362,171
32,neutrophils_max,1.8798304570114528,126
29,serum_rbc_max,1.7921361656138943,158
31,plt_max,1.7729256861130085,218
33,hematocrit_max,1.6528449135762762,212
28,hemoglobin_max,1.569946094261677,159
12,tempc_min,1.5103926857950165,243
80,bun_min,1.4432304850888933,157
72,urine_ph_min,1.4295043122278144,46
108,neutrophils_mean,1.4176992410184253,81
124,magnesium_mean,1.3089974763396388,171
126,sodium_mean,1.26488508749929,176
68,serum_wbc_min,1.256808638517551,187
118,bun_mean,1.1991662369056635,150
117,glucose_mean,0.9863940236145178,180
11,resprate_min,0.9771701653956608,131
5,tempc_max,0.9689851622725525,197
107,plt_mean,0.9556028586645178,136
88,sodium_min,0.949791647667791,85
97,po2_mean,0.9475893248873091,118
99,arterial_ph_mean,0.9443819835251115,146
114,serum_albumin_mean,0.8984009502901914,80
20,spo2_mean,0.8907639272401738,204
125,potassium_mean,0.8657665145238709,159
123,phosphate_mean,0.8408619656647277,158
19,tempc_mean,0.8284808265348356,169
34,urine_ph_max,0.8240623124703198,74
3,meanbp_max,0.7874700742792526,154
24,lactate_max,0.785735864542848,117
79,glucose_min,0.7845637754128207,158
71,hematocrit_min,0.7753519771154083,127
2,diasbp_max,0.7656081587744846,143
94,pt_min,0.7512689171899093,130
38,serum_albumin_max,0.7492773399122327,98
105,serum_rbc_mean,0.7278127967123686,125
14,heartrate_mean,0.727485696788469,144
69,plt_min,0.6974979866030576,122
122,calcium_mean,0.6573732633667813,119
23,arterial_ph_max,0.6569684387670053,94
100,lactate_mean,0.6508170602029342,101
73,urine_specific_gravity_min,0.6474246211668263,102
103,total_co2_mean,0.6376839747294114,128
47,phosphate_max,0.6369327406633106,127
30,serum_wbc_max,0.6149474795034701,111
84,calcium_min,0.6102789404796056,115
7,heartrate_min,0.5939935224091977,132
85,phosphate_min,0.5939762845315203,118
41,glucose_max,0.5866901307887102,114
16,diasbp_mean,0.5826886673060204,130
42,bun_max,0.5522685170926821,63
56,pt_max,0.5461994943727048,114
132,pt_mean,0.545517568939624,99
4,resprate_max,0.5425408016810261,111
96,fibrinogen_min,0.5407485141356558,63
49,potassium_max,0.5388972734890036,118
8,sysbp_min,0.5349274582895569,115
131,ptt_mean,0.5024077211608238,109
17,meanbp_mean,0.49020256033154985,102
55,ptt_max,0.48798563411670526,106
15,sysbp_mean,0.4718626829656743,97
98,pco2_mean,0.47131847723376424,100
67,serum_rbc_min,0.4665208725062169,87
75,ast_min,0.46251134153661466,57
59,po2_min,0.45618633902677536,103
101,be_mean,0.4552453488965372,95
1,sysbp_max,0.4521590991562349,99
106,serum_wbc_mean,0.4521458129118023,88
51,chloride_max,0.44547681722214677,88
9,diasbp_min,0.44470751380143214,75
0,heartrate_max,0.4338663066029931,104
119,creatinine_mean,0.4114682597063207,92
109,hematocrit_mean,0.4018033122845964,78
127,chloride_mean,0.3858429454438939,89
13,spo2_min,0.3754333481924457,79
61,arterial_ph_min,0.37171568209402345,80
43,creatinine_max,0.3675558008548728,76
89,chloride_min,0.3524099092509191,73
58,fibrinogen_max,0.3472884600726473,43
66,hemoglobin_min,0.34634239091184843,71
27,total_co2_max,0.3457880255324526,56
76,serum_albumin_min,0.3388054779768792,50
10,meanbp_min,0.33378039750539606,77
87,potassium_min,0.3321899801358089,70
77,troponin_t_min,0.31091250753929456,52
22,pco2_max,0.30141632940813146,65
57,inr_max,0.3012880047903524,56
36,alt_max,0.29653034775940773,55
46,calcium_max,0.29162966172010313,63
104,hemoglobin_mean,0.2886393355527923,54
54,ck_mb_max,0.27688190324132794,49
37,ast_max,0.27465228712808415,41
78,alp_min,0.24400793929726622,47
121,ld_mean,0.2439025020442948,41
64,sao2_min,0.2387820883176696,49
133,inr_mean,0.2372548051343281,53
92,ck_mb_min,0.23577686422334437,43
113,ast_mean,0.2278205462882448,29
35,urine_specific_gravity_max,0.22440414877421533,42
81,creatinine_min,0.20271170036989683,41
45,ld_max,0.2004362255131892,32
48,magnesium_max,0.19625858435562737,45
102,sao2_mean,0.1862132865707803,42
91,lipase_min,0.17854436262488307,35
115,troponin_t_mean,0.17458442863427603,26
120,creatine_kinase_mean,0.16963124789965744,35
60,pco2_min,0.16881535667421574,37
63,be_min,0.16183318400823224,30
111,urine_specific_gravity_mean,0.15135429696977076,19
50,sodium_max,0.14991188325633945,36
65,total_co2_min,0.1495144708481483,28
26,sao2_max,0.13875150950968287,31
83,ld_min,0.13872946133154176,30
40,alp_max,0.12320218810082026,32
130,ck_mb_mean,0.10869324063625464,25
74,alt_min,0.10741034422004463,22
53,lipase_max,0.10694879199760843,27
25,be_max,0.10626669682355736,16
112,alt_mean,0.1041774894257277,20
95,inr_min,0.10274648827023444,18
90,amylase_min,0.0995176681711922,21
116,alp_mean,0.08783608253419897,20
39,troponin_t_max,0.08720365077607613,18
129,lipase_mean,0.07657693527952203,17
52,amylase_max,0.06488413887011814,13
128,amylase_mean,0.04200919669019808,11
134,fibrinogen_mean,0.03938028610626559,8
110,urine_ph_mean,0.029348495007021642,3
6,spo2_max,0.008163826683827344,2
