,feature,gain,split
21,po2_max,8.331505986344261,205
93,ptt_min,7.153622884055176,174
70,neutrophils_min,5.108295389385119,120
32,neutrophils_max,4.1832558812314575,91
82,creatine_kinase_min,3.829132939198197,147
86,magnesium_min,3.0382513350626343,143
18,resprate_mean,2.6261369102824434,216
80,bun_min,2.2522137382988383,179
31,plt_max,2.029048335455605,164
29,serum_rbc_max,1.9917435445358715,145
33,hematocrit_max,1.8208384329191432,134
124,magnesium_mean,1.7328607485061673,169
62,lactate_min,1.519091119956872,56
97,po2_mean,1.2689433701460164,108
118,bun_mean,1.2596061496057553,118
68,serum_wbc_min,1.2514485179384534,147
105,serum_rbc_mean,1.2207170351193428,83
126,sodium_mean,1.2193917207133755,111
12,tempc_min,1.2035588318922326,153
34,urine_ph_max,1.179644235026374,69
100,lactate_mean,1.0556672743371525,78
11,resprate_min,1.042928650397769,125
44,creatine_kinase_max,1.013870751182033,93
94,pt_min,0.97542050816517,112
69,plt_min,0.9485325375747744,130
28,hemoglobin_max,0.9340264751132604,65
88,sodium_min,0.9319645669494483,63
114,serum_albumin_mean,0.9318832967556678,56
20,spo2_mean,0.8551345605804758,151
19,tempc_mean,0.7906362566946353,117
72,urine_ph_min,0.7713114677914165,25
99,arterial_ph_mean,0.7228767123834324,94
41,glucose_max,0.7135701143483285,110
131,ptt_mean,0.7037171584054329,89
35,urine_specific_gravity_max,0.6997574357300556,47
24,lactate_max,0.687602335899696,80
5,tempc_max,0.6800781986112684,117
125,potassium_mean,0.6756667645674942,109
84,calcium_min,0.6657992708351959,97
71,hematocrit_min,0.6651603495001379,78
38,serum_albumin_max,0.6552016315187054,59
14,heartrate_mean,0.6451527874231553,95
117,glucose_mean,0.6410633177820713,87
47,phosphate_max,0.6368687629992427,95
107,plt_mean,0.6214595249586787,70
49,potassium_max,0.6155959523354834,94
30,serum_wbc_max,0.5932366994273324,87
127,chloride_mean,0.5847737061014084,83
3,meanbp_max,0.5833073041451647,101
132,pt_mean,0.57675050665906,77
123,phosphate_mean,0.5620934053509554,86
73,urine_specific_gravity_min,0.5572081315469428,71
15,sysbp_mean,0.5420227018341099,81
2,diasbp_max,0.5190416618602058,91
7,heartrate_min,0.4985901249108013,80
58,fibrinogen_max,0.483852268752759,39
10,meanbp_min,0.47332533168840013,77
23,arterial_ph_max,0.4724518674603453,56
43,creatinine_max,0.4715707624451597,52
85,phosphate_min,0.46201820289641166,65
79,glucose_min,0.4608128191663519,82
120,creatine_kinase_mean,0.45047625914775824,35
98,pco2_mean,0.4498227470049974,67
75,ast_min,0.44966854365192066,46
59,po2_min,0.44748183596497254,73
55,ptt_max,0.4414838573276993,62
9,diasbp_min,0.43884015773168716,59
0,heartrate_max,0.4292031672111043,70
101,be_mean,0.4246955879102067,61
37,ast_max,0.41526530780025994,43
106,serum_wbc_mean,0.4100053060944588,58
122,calcium_mean,0.40932862144981647,82
89,chloride_min,0.40863503224455217,59
67,serum_rbc_min,0.4020438164860168,56
108,neutrophils_mean,0.3971400099897859,27
119,creatinine_mean,0.39018757756973854,55
103,total_co2_mean,0.3854632938713464,60
26,sao2_max,0.38255473184954786,28
13,spo2_min,0.38116836996558234,54
17,meanbp_mean,0.37496420397936947,61
60,pco2_min,0.3744714882129131,69
45,ld_max,0.3503887953724129,43
8,sysbp_min,0.34844236695720004,53
1,sysbp_max,0.34262293024192897,63
56,pt_max,0.34038726753710835,49
42,bun_max,0.3402563622222116,52
16,diasbp_mean,0.3381706339279152,62
27,total_co2_max,0.332739627697829,54
104,hemoglobin_mean,0.3205308240951567,43
51,chloride_max,0.3033256143659143,47
109,hematocrit_mean,0.27778563032782067,43
74,alt_min,0.2689451433121183,35
46,calcium_max,0.2671796743340836,43
4,resprate_max,0.26406012684446817,45
36,alt_max,0.2635506750425069,34
57,inr_max,0.2580066632511607,33
66,hemoglobin_min,0.24716933524653123,30
96,fibrinogen_min,0.2279790633900891,29
76,serum_albumin_min,0.20968261445339176,24
81,creatinine_min,0.20379186901927324,33
48,magnesium_max,0.19689818930202269,32
50,sodium_max,0.19651046184993715,31
87,potassium_min,0.19315234938424153,44
64,sao2_min,0.18658584373285997,24
61,arterial_ph_min,0.18270780920846733,28
65,total_co2_min,0.18148032355843177,30
77,troponin_t_min,0.17268905333379822,21
129,lipase_mean,0.1725316596734873,33
22,pco2_max,0.1720285485917742,29
113,ast_mean,0.16078994043462105,16
133,inr_mean,0.15846387563716133,22
25,be_max,0.15698239519433588,17
54,ck_mb_max,0.1539415831614293,18
95,inr_min,0.13432689064052683,18
83,ld_min,0.1195936546060278,17
112,alt_mean,0.11247603416443315,14
102,sao2_mean,0.10996627326085764,19
40,alp_max,0.10685056434091261,30
92,ck_mb_min,0.10032464468297456,15
63,be_min,0.09811969836522381,16
134,fibrinogen_mean,0.09416387749372007,12
78,alp_min,0.09248840376184697,12
91,lipase_min,0.08815597899081262,13
128,amylase_mean,0.08767103185941326,11
111,urine_specific_gravity_mean,0.06851726910538387,13
115,troponin_t_mean,0.06784822946100026,11
90,amylase_min,0.06607491153748765,8
121,ld_mean,0.05383161964243559,9
130,ck_mb_mean,0.05376274924341355,9
52,amylase_max,0.035089929434172815,5
6,spo2_max,0.03072991739973699,8
116,alp_mean,0.025683440223805143,3
39,troponin_t_max,0.02439391674971811,4
110,urine_ph_mean,0.01866336271656095,2
53,lipase_max,0.017281173395186075,2
