,feature,gain,split
93,ptt_min,8.923473022037143,161
21,po2_max,8.237783862074737,193
70,neutrophils_min,5.274893433592097,112
32,neutrophils_max,4.704246123336533,96
86,magnesium_min,3.3504977971939267,156
82,creatine_kinase_min,2.900712532401467,124
18,resprate_mean,2.85204965950338,209
80,bun_min,2.05871676823259,153
34,urine_ph_max,1.7991174065349127,88
33,hematocrit_max,1.7745495297246119,117
29,serum_rbc_max,1.754235586345208,125
31,plt_max,1.6495572224500086,130
124,magnesium_mean,1.5772193715789549,139
28,hemoglobin_max,1.5281894184797504,94
126,sodium_mean,1.4939305626581416,117
44,creatine_kinase_max,1.442057179271329,67
12,tempc_min,1.3772242321917487,141
62,lactate_min,1.3770207028070733,70
97,po2_mean,1.3547684274688707,62
38,serum_albumin_max,1.1177595439938504,77
68,serum_wbc_min,1.1054743586194293,135
118,bun_mean,1.0469824713699691,84
11,resprate_min,1.0442981995121652,112
41,glucose_max,1.003115017872149,123
99,arterial_ph_mean,0.8856686208842649,87
88,sodium_min,0.8540061819845275,58
58,fibrinogen_max,0.8495594815434893,57
69,plt_min,0.8398857199412884,99
24,lactate_max,0.8215219025056749,80
107,plt_mean,0.8009570801066824,85
100,lactate_mean,0.7902820763401577,49
20,spo2_mean,0.7719953779867544,109
5,tempc_max,0.7683954352458603,113
94,pt_min,0.7485787078073775,93
71,hematocrit_min,0.7225722552473065,72
47,phosphate_max,0.682491246695474,84
35,urine_specific_gravity_max,0.6578978882146457,53
14,heartrate_mean,0.6529034455120422,90
117,glucose_mean,0.6527487439701084,88
123,phosphate_mean,0.6327910415560466,92
19,tempc_mean,0.630497456695846,75
84,calcium_min,0.599443927117278,80
3,meanbp_max,0.5890232933768028,83
23,arterial_ph_max,0.5776889444993831,55
125,potassium_mean,0.5757772643191417,74
105,serum_rbc_mean,0.5554211602162075,48
49,potassium_max,0.5107479443812964,67
89,chloride_min,0.5085544968669671,62
114,serum_albumin_mean,0.5078024735521683,41
16,diasbp_mean,0.4968452615839902,68
2,diasbp_max,0.4946974415707624,67
17,meanbp_mean,0.49226280634712033,72
51,chloride_max,0.4875766988564461,61
119,creatinine_mean,0.48458688776783065,58
85,phosphate_min,0.470779949193069,56
132,pt_mean,0.4651234592035455,56
131,ptt_mean,0.4648889654616733,58
59,po2_min,0.45353472646669,66
15,sysbp_mean,0.4524929923845343,66
122,calcium_mean,0.45073160936792583,65
56,pt_max,0.4489999260996296,69
101,be_mean,0.4455100786963768,56
104,hemoglobin_mean,0.42842266421218766,43
98,pco2_mean,0.4270400516312913,68
67,serum_rbc_min,0.41033273931227127,58
30,serum_wbc_max,0.40766545452541453,69
7,heartrate_min,0.40756765019241936,63
73,urine_specific_gravity_min,0.3994686705625977,41
108,neutrophils_mean,0.39933256395674077,23
22,pco2_max,0.3975451686487373,62
42,bun_max,0.3961038242572045,37
4,resprate_max,0.39021612861531935,48
55,ptt_max,0.38406443990364236,53
46,calcium_max,0.3667810674809226,47
72,urine_ph_min,0.35350130886218506,18
37,ast_max,0.34354570953114943,32
79,glucose_min,0.340612455710329,53
9,diasbp_min,0.3344708237067764,40
127,chloride_mean,0.3264939355798493,44
120,creatine_kinase_mean,0.3262964837993081,30
1,sysbp_max,0.3161077858520567,57
0,heartrate_max,0.3084663627450595,45
87,potassium_min,0.3062196386036992,43
134,fibrinogen_mean,0.30297244901400633,27
103,total_co2_mean,0.29814132638041285,35
113,ast_mean,0.29747907093786374,25
75,ast_min,0.29530583023560425,35
61,arterial_ph_min,0.2875644841592962,39
48,magnesium_max,0.2670130848107036,39
10,meanbp_min,0.2504954327197147,41
109,hematocrit_mean,0.2486643599269505,28
50,sodium_max,0.23865227380472104,30
43,creatinine_max,0.23701209355732877,28
111,urine_specific_gravity_mean,0.2355763721508328,23
77,troponin_t_min,0.23156456235196377,24
36,alt_max,0.2230693584410135,28
96,fibrinogen_min,0.21499387641396606,25
57,inr_max,0.20537175042265196,23
27,total_co2_max,0.19994474959962905,25
106,serum_wbc_mean,0.1980634679992705,28
92,ck_mb_min,0.19496357213222568,16
74,alt_min,0.18681868448642192,20
8,sysbp_min,0.18389357378257382,27
13,spo2_min,0.1834437142704774,24
64,sao2_min,0.1796272930312334,23
115,troponin_t_mean,0.17958112389985328,15
76,serum_albumin_min,0.17839995947475762,15
133,inr_mean,0.17554862966874274,27
102,sao2_mean,0.16487800036275135,26
83,ld_min,0.16472182143153266,33
66,hemoglobin_min,0.14899857356709234,26
95,inr_min,0.14130425936708454,15
26,sao2_max,0.13632831173824253,15
39,troponin_t_max,0.1318030531335482,17
25,be_max,0.12946531988047252,19
45,ld_max,0.1254728173142927,17
81,creatinine_min,0.12108941353765795,19
112,alt_mean,0.11228069246101567,14
54,ck_mb_max,0.11165735549092594,13
78,alp_min,0.10092707048417357,15
6,spo2_max,0.0983282463893789,11
63,be_min,0.0957647987653184,10
121,ld_mean,0.08802349206095596,9
60,pco2_min,0.08549102131780882,21
130,ck_mb_mean,0.07610263412563462,9
110,urine_ph_mean,0.0643288576646143,5
40,alp_max,0.05574799955396711,13
90,amylase_min,0.05436853533719432,5
91,lipase_min,0.052943818921545684,15
116,alp_mean,0.05221817194539359,11
65,total_co2_min,0.051294456989102656,5
128,amylase_mean,0.0386041478004699,4
52,amylase_max,0.030991832430149736,6
129,lipase_mean,0.029740368209304657,12
53,lipase_max,0.029593509542562707,5
